rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
50,0,"E la nave va",1983,http://www.icheckmovies.com/movies/e+la+nave+va/,876,73,11,3,115,"And the Ship Sails On",http://www.imdb.com/title/tt0087188/,no,no,no,no,no
51,0,Brazil,1985,http://www.icheckmovies.com/movies/brazil/,27487,3259,334,19,926,,http://www.imdb.com/title/tt0088846/,"2010-01-30 15:23:26",no,no,no,no
52,0,Yôjinbô,1961,http://www.icheckmovies.com/movies/yojinbo/,13372,1588,56,18,647,Yojimbo,http://www.imdb.com/title/tt0055630/,"2010-01-30 15:23:28",no,no,no,no
53,0,"Tsubaki Sanjûrô",1962,http://www.icheckmovies.com/movies/tsubaki+sanjuro/,4574,539,12,7,308,Sanjuro,http://www.imdb.com/title/tt0056443/,"2010-01-30 15:23:28",no,no,no,no
54,0,"For All Mankind",1989,http://www.icheckmovies.com/movies/for+all+mankind/,1626,162,2,3,136,,http://www.imdb.com/title/tt0097372/,no,no,no,no,no
55,0,"The Unbearable Lightness of Being",1988,http://www.icheckmovies.com/movies/the+unbearable+lightness+of+being/,3674,210,50,6,198,,http://www.imdb.com/title/tt0096332/,no,no,no,no,no
56,0,"The 39 Steps",1935,http://www.icheckmovies.com/movies/the+39+steps/,11408,724,47,14,496,,http://www.imdb.com/title/tt0026029/,"2010-01-30 15:23:28",no,no,no,no
57,0,Charade,1963,http://www.icheckmovies.com/movies/charade/,7808,798,35,2,374,,http://www.imdb.com/title/tt0056923/,"2010-01-30 15:23:27",no,no,no,no
58,0,"Peeping Tom",1960,http://www.icheckmovies.com/movies/peeping+tom/,7605,729,44,20,603,,http://www.imdb.com/title/tt0054167/,no,no,no,no,no
59,0,"Il portiere di notte",1974,http://www.icheckmovies.com/movies/il+portiere+di+notte/,1778,99,33,5,187,"The Night Porter",http://www.imdb.com/title/tt0071910/,no,no,no,no,no
60,0,Höstsonaten,1978,http://www.icheckmovies.com/movies/hostsonaten/,3549,537,26,9,379,"Autumn Sonata",http://www.imdb.com/title/tt0077711/,no,no,no,no,no
61,0,"Life of Brian",1979,http://www.icheckmovies.com/movies/life+of+brian/,57705,4371,240,19,750,"Monty Python's Life of Brian",http://www.imdb.com/title/tt0079470/,"2010-01-30 15:23:27",no,no,no,no
62,0,"La passion de Jeanne d'Arc",1928,http://www.icheckmovies.com/movies/la+passion+de+jeanne+darc/,10428,1360,89,26,876,"The Passion of Joan of Arc",http://www.imdb.com/title/tt0019254/,"2010-07-10 17:54:59",no,no,no,no
63,0,"Carnival of Souls",1962,http://www.icheckmovies.com/movies/carnival+of+souls/,3888,305,42,5,317,,http://www.imdb.com/title/tt0055830/,no,no,no,no,no
64,0,"The Third Man",1949,http://www.icheckmovies.com/movies/the+third+man/,20973,2590,95,33,1136,,http://www.imdb.com/title/tt0041959/,"2010-01-30 15:23:28",no,no,no,no
65,0,Rushmore,1998,http://www.icheckmovies.com/movies/rushmore/,27096,2655,188,10,569,,http://www.imdb.com/title/tt0128445/,"2012-06-24 22:54:15",no,no,no,no
66,0,"Le sang d'un poète",1930,http://www.icheckmovies.com/movies/le+sang+dun+poete/,1686,123,23,8,251,"The Blood of a Poet",http://www.imdb.com/title/tt0021331/,no,no,no,no,no
67,0,Orphée,1950,http://www.icheckmovies.com/movies/orphee/,3234,326,21,17,404,Orpheus,http://www.imdb.com/title/tt0041719/,no,no,no,no,no
68,0,"Le testament d'Orphée ou ne me demandez pas pourquoi",1960,http://www.icheckmovies.com/movies/le+testament+dorphee+ou+ne+me+demandez+pas+pourquoi/,925,61,12,7,129,"Testament of Orpheus",http://www.imdb.com/title/tt0054377/,no,no,no,no,no
69,0,"The Last Temptation of Christ",1988,http://www.icheckmovies.com/movies/the+last+temptation+of+christ/,7804,490,75,7,307,,http://www.imdb.com/title/tt0095497/,no,no,no,no,no
70,0,Trollflöjten,1975,http://www.icheckmovies.com/movies/trollflojten/,778,50,8,2,130,"The Magic Flute",http://www.imdb.com/title/tt0073822/,no,no,no,no,no
71,0,"Le million",1931,http://www.icheckmovies.com/movies/le+million/,1231,87,13,7,225,"The Million",http://www.imdb.com/title/tt0022150/,no,no,no,no,no
72,0,"Cléo de 5 à 7",1962,http://www.icheckmovies.com/movies/cleo+de+5+a+7/,4474,522,23,14,458,"Cleo from 5 to 7",http://www.imdb.com/title/tt0055852/,no,no,no,no,no
73,0,"Sans toit ni loi",1985,http://www.icheckmovies.com/movies/sans+toit+ni+loi/,2041,211,13,9,331,Vagabond,http://www.imdb.com/title/tt0089960/,no,no,no,no,no
74,0,"Chasing Amy",1997,http://www.icheckmovies.com/movies/chasing+amy/,14003,790,197,2,243,,http://www.imdb.com/title/tt0118842/,"2010-01-30 15:23:27",no,no,no,no
75,0,"Brief Encounter",1945,http://www.icheckmovies.com/movies/brief+encounter/,7966,946,54,21,633,,http://www.imdb.com/title/tt0037558/,"2010-01-30 15:23:26",no,no,no,no
76,0,"Et Dieu... créa la femme",1956,http://www.icheckmovies.com/movies/et+dieu...+crea+la+femme/,1487,41,34,5,141,"...And God Created Woman",http://www.imdb.com/title/tt0049189/,no,no,no,no,no
77,0,"The Bank Dick",1940,http://www.icheckmovies.com/movies/the+bank+dick/,2052,96,50,8,208,"The Bank Detective",http://www.imdb.com/title/tt0032234/,no,no,no,no,no
78,0,"Pool Sharks",1915,http://www.icheckmovies.com/movies/pool+sharks/,848,8,28,2,34,,http://www.imdb.com/title/tt0005910/,"2011-11-18 05:27:05",no,no,no,no
79,0,"The Golf Specialist",1930,http://www.icheckmovies.com/movies/the+golf+specialist/,566,5,16,1,32,,http://www.imdb.com/title/tt0020927/,"2011-11-18 12:52:00",no,no,no,no
80,0,"The Dentist",1932,http://www.icheckmovies.com/movies/the+dentist/,712,13,16,1,53,,http://www.imdb.com/title/tt0022807/,"2012-04-16 02:50:26",no,no,no,no
81,0,"The Fatal Glass of Beer",1933,http://www.icheckmovies.com/movies/the+fatal+glass+of+beer/,790,23,26,2,71,,http://www.imdb.com/title/tt0022883/,"2012-04-16 02:50:24",no,no,no,no
82,0,"The Pharmacist",1933,http://www.icheckmovies.com/movies/the+pharmacist/,522,4,15,1,34,,http://www.imdb.com/title/tt0024446/,"2012-04-16 02:50:23",no,no,no,no
83,0,"The Barber Shop",1933,http://www.icheckmovies.com/movies/the+barber+shop/,525,5,8,1,31,,http://www.imdb.com/title/tt0023779/,"2012-04-16 02:50:23",no,no,no,no
84,0,"Forbrydelsens element",1984,http://www.icheckmovies.com/movies/forbrydelsens+element/,1388,79,30,4,141,"The Element of Crime",http://www.imdb.com/title/tt0087280/,no,no,no,no,no
85,0,"Luci del varietà",1950,http://www.icheckmovies.com/movies/luci+del+varieta/,585,13,3,2,70,"Variety Lights",http://www.imdb.com/title/tt0042692/,no,no,no,no,no
86,0,Hamlet,1948,http://www.icheckmovies.com/movies/hamlet/,4325,156,35,10,260,,http://www.imdb.com/title/tt0040416/,"2010-06-25 22:47:27",no,no,no,no
87,0,"The Harder They Come",1972,http://www.icheckmovies.com/movies/the+harder+they+come/,1694,87,13,5,180,,http://www.imdb.com/title/tt0070155/,no,no,no,no,no
88,0,Ohayô,1959,http://www.icheckmovies.com/movies/ohayo/,1772,226,13,9,266,"Good Morning",http://www.imdb.com/title/tt0053134/,no,no,no,no,no
89,0,Pygmalion,1938,http://www.icheckmovies.com/movies/pygmalion/,2166,173,14,6,212,,http://www.imdb.com/title/tt0030637/,no,no,no,no,no
90,0,"Aleksandr Nevskiy",1938,http://www.icheckmovies.com/movies/aleksandr+nevskiy/,2365,127,21,12,294,"Alexander Nevsky",http://www.imdb.com/title/tt0029850/,no,no,no,no,no
91,0,"Ivan Groznyy",1944,http://www.icheckmovies.com/movies/ivan+groznyy/,2595,198,31,19,372,"Ivan the Terrible, Part I",http://www.imdb.com/title/tt0037824/,no,no,no,no,no
92,0,"Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor",1958,http://www.icheckmovies.com/movies/ivan+groznyy.+skaz+vtoroy+boyarskiy+zagovor/,2018,147,26,14,264,"Ivan the Terrible, Part II",http://www.imdb.com/title/tt0051790/,no,no,no,no,no
93,0,Sisters,1972,http://www.icheckmovies.com/movies/sisters/,2471,132,21,2,197,,http://www.imdb.com/title/tt0070698/,no,no,no,no,no
94,0,Kaidan,1964,http://www.icheckmovies.com/movies/kaidan/,3055,339,31,12,407,Kwaidan,http://www.imdb.com/title/tt0058279/,no,no,no,no,no
95,0,"The Blob",1958,http://www.icheckmovies.com/movies/the+blob/,5818,143,59,5,212,,http://www.imdb.com/title/tt0051418/,"2010-02-01 05:44:47",no,no,no,no
96,0,"Fiend Without a Face",1958,http://www.icheckmovies.com/movies/fiend+without+a+face/,918,19,17,5,110,,http://www.imdb.com/title/tt0050393/,no,no,no,no,no
97,0,"Black Narcissus",1947,http://www.icheckmovies.com/movies/black+narcissus/,5548,543,46,13,500,,http://www.imdb.com/title/tt0039192/,no,no,no,no,no
98,0,"I Know Where I'm Going!",1945,http://www.icheckmovies.com/movies/i+know+where+im+goingexclamation/,2151,165,29,12,257,,http://www.imdb.com/title/tt0037800/,no,no,no,no,no
99,0,"All That Heaven Allows",1955,http://www.icheckmovies.com/movies/all+that+heaven+allows/,3809,320,23,11,402,,http://www.imdb.com/title/tt0047811/,no,no,no,no,no
100,0,"Written on the Wind",1956,http://www.icheckmovies.com/movies/written+on+the+wind/,2764,196,22,11,334,,http://www.imdb.com/title/tt0049966/,no,no,no,no,no
101,0,"Do the Right Thing",1989,http://www.icheckmovies.com/movies/do+the+right+thing/,17053,1648,119,24,747,,http://www.imdb.com/title/tt0097216/,"2012-10-30 01:19:36",no,no,no,no
102,0,L'avventura,1960,http://www.icheckmovies.com/movies/lavventura/,6063,683,75,23,652,L'Avventura,http://www.imdb.com/title/tt0053619/,no,no,no,no,no
103,0,"Gimme Shelter",1970,http://www.icheckmovies.com/movies/gimme+shelter/,3730,256,10,9,251,,http://www.imdb.com/title/tt0065780/,no,no,no,no,no
104,0,"Beastie Boys: Video Anthology",2000,http://www.icheckmovies.com/movies/beastie+boys+video+anthology/,935,23,5,1,21,,http://www.imdb.com/title/tt0273456/,no,no,no,no,no
105,0,"Viskningar och rop",1972,http://www.icheckmovies.com/movies/viskningar+och+rop/,4997,653,45,16,545,"Cries and Whispers",http://www.imdb.com/title/tt0069467/,no,no,no,no,no
106,0,"Le charme discret de la bourgeoisie",1972,http://www.icheckmovies.com/movies/le+charme+discret+de+la+bourgeoisie/,6970,774,60,20,594,"The Discreet Charm of the Bourgeoisie",http://www.imdb.com/title/tt0068361/,no,no,no,no,no
107,0,"The Lady Eve",1941,http://www.icheckmovies.com/movies/the+lady+eve/,5448,481,46,19,503,,http://www.imdb.com/title/tt0033804/,"2010-08-06 00:28:58",no,no,no,no
108,0,"Shinjû: Ten no Amijima",1969,http://www.icheckmovies.com/movies/shinju+ten+no+amijima/,635,49,10,5,183,"Double Suicide",http://www.imdb.com/title/tt0064975/,no,no,no,no,no
109,0,Spartacus,1960,http://www.icheckmovies.com/movies/spartacus/,21675,880,77,19,593,,http://www.imdb.com/title/tt0054331/,"2010-01-30 15:23:27",no,no,no,no
110,0,"Coup de torchon",1981,http://www.icheckmovies.com/movies/coup+de+torchon/,734,52,7,5,191,"Coup de Torchon",http://www.imdb.com/title/tt0082206/,no,no,no,no,no
111,0,"Mona Lisa",1986,http://www.icheckmovies.com/movies/mona+lisa/,2045,114,12,6,197,,http://www.imdb.com/title/tt0091538/,"2015-03-08 03:28:57",no,no,no,no
112,0,"The Rock",1996,http://www.icheckmovies.com/movies/the+rock/,33141,1204,235,5,270,,http://www.imdb.com/title/tt0117500/,"2010-01-30 15:23:28",no,no,no,no
