rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
27,,Kumonosu-jô,1957,http://www.icheckmovies.com/movies/kumonosu-jo/,6075,692,32,17,517,"Throne of Blood",http://www.imdb.com/title/tt0050613/,"2010-01-30 15:23:27",no,no,no,no
28,,Kanal,1957,http://www.icheckmovies.com/movies/kanal/,1280,166,10,10,274,,http://www.imdb.com/title/tt0050585/,no,no,no,no,no
29,,"The Bridge on the River Kwai",1957,http://www.icheckmovies.com/movies/the+bridge+on+the+river+kwai/,25851,1817,77,29,836,,http://www.imdb.com/title/tt0050212/,"2010-01-30 15:23:28",no,no,no,no
30,,"Letyat zhuravli",1957,http://www.icheckmovies.com/movies/letyat+zhuravli/,3308,590,19,16,465,"The Cranes Are Flying",http://www.imdb.com/title/tt0050634/,no,no,no,no,no
31,,"Paths of Glory",1957,http://www.icheckmovies.com/movies/paths+of+glory/,18082,2343,77,25,855,,http://www.imdb.com/title/tt0050825/,"2010-01-30 15:23:27",no,no,no,no
32,,"Ice Cold in Alex",1958,http://www.icheckmovies.com/movies/ice+cold+in+alex/,435,31,1,2,138,,http://www.imdb.com/title/tt0053935/,no,no,no,no,no
33,,"Popiól i diament",1958,http://www.icheckmovies.com/movies/popiol+i+diament/,2586,232,19,16,409,"Ashes and Diamonds",http://www.imdb.com/title/tt0052080/,"2014-09-26 13:47:53",no,no,no,no
34,,"Ballada o soldate",1959,http://www.icheckmovies.com/movies/ballada+o+soldate/,1971,307,13,14,318,"Ballad of a Soldier",http://www.imdb.com/title/tt0052600/,"2012-05-31 00:04:26",no,no,no,no
35,,"La ciociara",1960,http://www.icheckmovies.com/movies/la+ciociara/,1004,76,5,3,182,"Two Women",http://www.imdb.com/title/tt0054749/,no,no,no,no,no
36,,"The Guns of Navarone",1961,http://www.icheckmovies.com/movies/the+guns+of+navarone/,5051,241,18,6,231,,http://www.imdb.com/title/tt0054953/,"2010-01-30 15:23:28",no,no,no,no
37,,"Ivanovo detstvo",1962,http://www.icheckmovies.com/movies/ivanovo+detstvo/,4232,537,26,12,414,"Ivan's Childhood",http://www.imdb.com/title/tt0056111/,no,no,no,no,no
