rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
331,-85,Ju-on,2002,http://www.icheckmovies.com/movies/ju-on/,5662,176,65,3,156,"Ju-on: The Grudge",http://www.imdb.com/title/tt0364385/,no,no,no,no,no
332,-84,"The Keep",1983,http://www.icheckmovies.com/movies/the+keep/,1024,33,43,2,91,,http://www.imdb.com/title/tt0085780/,"2014-12-23 03:22:48",no,no,no,no
333,-83,"Killer Klowns from Outer Space",1988,http://www.icheckmovies.com/movies/killer+klowns+from+outer+space/,5171,238,103,3,195,,http://www.imdb.com/title/tt0095444/,no,no,no,no,no
334,-71,"The Last House on the Left",1972,http://www.icheckmovies.com/movies/the+last+house+on+the+left/,5811,154,197,4,268,,http://www.imdb.com/title/tt0068833/,"2020-11-25 18:44:26",no,no,no,no
335,-51,"The Lost Boys",1987,http://www.icheckmovies.com/movies/the+lost+boys/,14996,853,128,3,269,,http://www.imdb.com/title/tt0093437/,no,no,no,no,no
336,-38,"Maniac Cop",1988,http://www.icheckmovies.com/movies/maniac+cop/,1418,45,34,2,114,,http://www.imdb.com/title/tt0095583/,"2012-07-03 02:53:32",no,no,no,no
337,-13,"Near Dark",1987,http://www.icheckmovies.com/movies/near+dark/,4232,244,37,8,319,,http://www.imdb.com/title/tt0093605/,no,no,no,no,no
338,-5,"Nosferatu, eine Symphonie des Grauens",1922,http://www.icheckmovies.com/movies/nosferatu+eine+symphonie+des+grauens/,21659,1363,119,27,920,Nosferatu,http://www.imdb.com/title/tt0013442/,"2010-01-30 15:23:27",no,no,no,no
339,1,"Operazione paura",1966,http://www.icheckmovies.com/movies/operazione+paura/,953,53,11,3,128,"Kill Baby, Kill",http://www.imdb.com/title/tt0060794/,no,no,no,no,no
340,10,"Peeping Tom",1960,http://www.icheckmovies.com/movies/peeping+tom/,7605,729,44,20,603,,http://www.imdb.com/title/tt0054167/,no,no,no,no,no
341,11,"Phantom of the Paradise",1974,http://www.icheckmovies.com/movies/phantom+of+the+paradise/,2105,223,29,4,274,,http://www.imdb.com/title/tt0071994/,"2020-09-04 20:33:44",no,no,no,no
342,14,Piranha,1978,http://www.icheckmovies.com/movies/piranha/,3752,53,58,3,140,,http://www.imdb.com/title/tt0078087/,no,no,no,no,no
343,24,Psychomania,1973,http://www.icheckmovies.com/movies/psychomania/,446,16,18,2,93,"The Death Wheelers",http://www.imdb.com/title/tt0067630/,no,no,no,no,no
344,24,Q,1982,http://www.icheckmovies.com/movies/q/,989,32,21,2,115,Serpent,http://www.imdb.com/title/tt0084556/,"2020-10-10 17:20:22",no,no,no,no
345,24,"The Quatermass Xperiment",1955,http://www.icheckmovies.com/movies/the+quatermass+xperiment/,962,28,6,2,115,"The Creeping Unknown",http://www.imdb.com/title/tt0049646/,no,no,no,no,no
346,26,Razorback,1984,http://www.icheckmovies.com/movies/razorback/,719,25,10,2,112,,http://www.imdb.com/title/tt0087981/,no,no,no,no,no
347,26,Re-Animator,1985,http://www.icheckmovies.com/movies/re-animator/,7424,565,54,5,405,,http://www.imdb.com/title/tt0089885/,no,no,no,no,no
348,40,"Rosemary's Baby",1968,http://www.icheckmovies.com/movies/rosemarys+baby/,34283,2889,198,20,974,,http://www.imdb.com/title/tt0063522/,"2010-01-30 15:23:27",no,no,no,no
